label,source_file,roi_index
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,419
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,387
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,788
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,906
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,113
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,791
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,553
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,17
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,452
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,627
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,496
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,714
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,455
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,789
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,335
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,854
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,31
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,799
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,893
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,927
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,888
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,787
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,291
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,252
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,322
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,706
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,632
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,206
0,C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0\F.npy,556
