group_id,method,number_neurons,neuron_indices,filtered_idxs,spike_rate,number_of_spikes,mean_combined,treatment,recording,day,recording_folder
249,combined,2,"[323, 332]","[205, 210]",0,0,0.9193765828327654,IOBP,1-2,21,1-2_Day21
323,combined,2,"[201, 206]","[131, 134]",0,0,0.9682678815126323,IOBP,1-2,21,1-2_Day21
47,combined,3,"[78, 81, 96]","[61, 64, 76]",0,0,0.7464538067183787,IOBP,1-2,28,1-2_Day28
57,combined,2,"[138, 148]","[113, 119]",0,0,0.9947732164662029,IOBP,1-2,28,1-2_Day28
58,combined,2,"[418, 421]","[330, 332]",0,0,0.9972141140862106,IOBP,1-2,28,1-2_Day28
105,combined,2,"[206, 234]","[162, 182]",0,0,0.6518083323735359,IOBP,1-2,28,1-2_Day28
117,combined,2,"[114, 336]","[92, 262]",0,0,0.9763478796559756,IOBP,1-2,28,1-2_Day28
137,combined,3,"[75, 79, 83]","[58, 62, 66]",0,0,0.6944176614960114,IOBP,1-2,28,1-2_Day28
207,combined,2,"[151, 260]","[122, 200]",0,0,0.5134549115460654,IOBP,1-2,28,1-2_Day28
234,combined,2,"[160, 452]","[128, 358]",0,0,0.9065490211488476,IOBP,1-2,28,1-2_Day28
236,combined,2,"[182, 255]","[144, 198]",0,0,0.7087070541371339,IOBP,1-2,28,1-2_Day28
240,combined,2,"[449, 453]","[355, 359]",0,0,0.6197421874852764,IOBP,1-2,28,1-2_Day28
276,combined,2,"[350, 355]","[274, 278]",0,0,0.5999197402428945,IOBP,1-2,28,1-2_Day28
307,combined,2,"[37, 345]","[28, 271]",0,0,0.710918701040611,IOBP,1-2,28,1-2_Day28
314,combined,2,"[265, 474]","[205, 375]",0,0,0.5571175641099079,IOBP,1-2,28,1-2_Day28
341,combined,2,"[30, 35]","[22, 26]",0,0,0.7318348630531682,IOBP,1-2,28,1-2_Day28
18,combined,2,"[96, 107]","[5, 6]",0,0,0.9651106456247952,IOBP,1-2,3,1-2_Day3
41,combined,2,"[254, 270]","[20, 22]",0,0,0.7845008635254604,IOBP,1-2,4,1-2_Day4
50,combined,2,"[144, 156]","[13, 14]",0,0,0.6842368848540886,IOBP,1-2,4,1-2_Day4
15,combined,2,"[200, 207]","[56, 58]",0,0,0.5373849248121548,IOBP,1-2,5,1-2_Day5
35,combined,2,"[163, 164]","[43, 44]",0,0,0.8475793941984915,IOBP,1-2,5,1-2_Day5
45,combined,2,"[44, 50]","[9, 11]",0,0,0.5158891662249595,IOBP,1-2,5,1-2_Day5
79,combined,2,"[120, 127]","[27, 30]",0,0,0.7400569797433407,IOBP,1-2,5,1-2_Day5
81,combined,2,"[402, 406]","[120, 121]",0,0,0.7948916592182441,IOBP,1-2,5,1-2_Day5
85,combined,2,"[48, 302]","[10, 87]",0,0,0.5205908154826364,IOBP,1-2,5,1-2_Day5
99,combined,2,"[104, 133]","[21, 34]",0,0,0.5992503115231936,IOBP,1-2,5,1-2_Day5
113,combined,2,"[183, 189]","[49, 52]",0,0,0.7686991014469587,IOBP,1-2,5,1-2_Day5
1,combined,2,"[577, 580]","[164, 165]",0,0,0.8459275879349166,IOBP,1-2,6,1-2_Day6
9,combined,2,"[204, 213]","[56, 63]",0,0,0.653767054289726,IOBP,1-2,6,1-2_Day6
11,combined,2,"[206, 211]","[58, 62]",0,0,0.9711570542359491,IOBP,1-2,6,1-2_Day6
20,combined,2,"[192, 196]","[53, 54]",0,0,0.5299253745766062,IOBP,1-2,6,1-2_Day6
77,combined,2,"[563, 565]","[161, 162]",0,0,0.708478097872541,IOBP,1-2,6,1-2_Day6
93,combined,2,"[214, 218]","[64, 67]",0,0,0.8038073034672115,IOBP,1-2,6,1-2_Day6
113,combined,2,"[175, 177]","[49, 50]",0,0,0.7424856183037065,IOBP,1-2,6,1-2_Day6
125,combined,2,"[32, 128]","[10, 39]",0,0,0.9719419081488965,IOBP,1-2,6,1-2_Day6
155,combined,2,"[621, 627]","[179, 181]",0,0,0.9787618487682267,IOBP,1-2,6,1-2_Day6
181,combined,2,"[28, 29]","[7, 8]",0,0,0.9968498989423482,IOBP,1-2,6,1-2_Day6
47,combined,2,"[194, 202]","[86, 91]",0,0,0.665485592406121,IOBP,1-2,7,1-2_Day7
52,combined,2,"[161, 162]","[69, 70]",0,0,0.6202176136170404,IOBP,1-2,7,1-2_Day7
13,combined,3,"[694, 749, 766]","[6, 8, 10]",0,0,0.7925248573317552,IOBP,1-3,1,1-3
13,combined,2,"[512, 616]","[277, 332]",0,0,0.5457256376339484,IOBP,1-3,10,1-3_Day10
18,combined,2,"[47, 107]","[24, 64]",0,0,0.5487767239798453,IOBP,1-3,10,1-3_Day10
55,combined,2,"[269, 287]","[142, 150]",0,0,0.8994356868766961,IOBP,1-3,10,1-3_Day10
56,combined,2,"[532, 533]","[285, 286]",0,0,0.7164850075124972,IOBP,1-3,10,1-3_Day10
68,combined,5,"[382, 492, 495, 537, 614]","[200, 267, 270, 289, 330]",0,0,0.5904349623844377,IOBP,1-3,10,1-3_Day10
95,combined,2,"[291, 303]","[153, 162]",0,0,0.6383071328941798,IOBP,1-3,10,1-3_Day10
115,combined,2,"[618, 858]","[333, 439]",0,0,0.5662891765731434,IOBP,1-3,10,1-3_Day10
124,combined,2,"[499, 598]","[272, 320]",0,0,0.5116795855103707,IOBP,1-3,10,1-3_Day10
130,combined,2,"[1004, 1051]","[517, 539]",0,0,0.5461159560018707,IOBP,1-3,10,1-3_Day10
134,combined,2,"[881, 885]","[449, 452]",0,0,0.6399130666693801,IOBP,1-3,10,1-3_Day10
153,combined,3,"[123, 463, 1224]","[70, 250, 621]",0,0,0.5786956479903466,IOBP,1-3,10,1-3_Day10
154,combined,3,"[117, 744, 1193]","[68, 390, 607]",0,0,0.6279334377714538,IOBP,1-3,10,1-3_Day10
155,combined,2,"[162, 1070]","[94, 548]",0,0,0.5286198775961022,IOBP,1-3,10,1-3_Day10
177,combined,2,"[195, 202]","[105, 108]",0,0,0.5234222371280943,IOBP,1-3,10,1-3_Day10
182,combined,2,"[148, 260]","[83, 137]",0,0,0.710455855565614,IOBP,1-3,10,1-3_Day10
236,combined,3,"[627, 642, 654]","[338, 344, 349]",0,0,0.5373763796795298,IOBP,1-3,10,1-3_Day10
244,combined,2,"[640, 710]","[342, 372]",0,0,0.5247248736520337,IOBP,1-3,10,1-3_Day10
253,combined,2,"[1033, 1127]","[531, 573]",0,0,0.5267487313986745,IOBP,1-3,10,1-3_Day10
258,combined,2,"[234, 312]","[123, 168]",0,0,0.731528628144233,IOBP,1-3,10,1-3_Day10
264,combined,3,"[494, 528, 574]","[269, 282, 309]",0,0,0.6477981765592458,IOBP,1-3,10,1-3_Day10
289,combined,2,"[953, 1084]","[485, 556]",0,0,0.5493246729396571,IOBP,1-3,10,1-3_Day10
290,combined,2,"[352, 353]","[187, 188]",0,0,0.8602590654946202,IOBP,1-3,10,1-3_Day10
323,combined,2,"[62, 79]","[36, 47]",0,0,0.6434252776593424,IOBP,1-3,10,1-3_Day10
403,combined,2,"[950, 994]","[483, 511]",0,0,0.7477997498504433,IOBP,1-3,10,1-3_Day10
416,combined,2,"[414, 553]","[218, 296]",0,0,0.5358536885043491,IOBP,1-3,10,1-3_Day10
439,combined,2,"[173, 181]","[97, 99]",0,0,0.9809187309290683,IOBP,1-3,10,1-3_Day10
449,combined,2,"[400, 1007]","[211, 518]",0,0,0.5303757741635959,IOBP,1-3,10,1-3_Day10
479,combined,3,"[490, 770, 821]","[265, 405, 426]",0,0,0.5306364614185886,IOBP,1-3,10,1-3_Day10
502,combined,2,"[159, 1214]","[91, 617]",0,0,0.5305088604989067,IOBP,1-3,10,1-3_Day10
525,combined,2,"[48, 61]","[25, 35]",0,0,0.8446185233148488,IOBP,1-3,10,1-3_Day10
534,combined,2,"[484, 589]","[262, 315]",0,0,0.5204380699243332,IOBP,1-3,10,1-3_Day10
548,combined,2,"[659, 674]","[352, 358]",0,0,0.8720491824620021,IOBP,1-3,10,1-3_Day10
553,combined,2,"[189, 219]","[102, 115]",0,0,0.5980570181188214,IOBP,1-3,10,1-3_Day10
563,combined,2,"[391, 399]","[205, 210]",0,0,0.7761493686873676,IOBP,1-3,10,1-3_Day10
568,combined,2,"[210, 307]","[110, 164]",0,0,0.5418433612247749,IOBP,1-3,10,1-3_Day10
28,combined,2,"[423, 429]","[291, 295]",0,0,0.5052954823521716,IOBP,1-3,13,1-3_Day13
55,combined,3,"[697, 721, 722]","[473, 487, 488]",0,0,0.5793293758435213,IOBP,1-3,13,1-3_Day13
219,combined,2,"[931, 1041]","[626, 690]",0,0,0.5046221047805151,IOBP,1-3,13,1-3_Day13
266,combined,2,"[154, 189]","[104, 126]",0,0,0.8814331599318339,IOBP,1-3,13,1-3_Day13
305,combined,2,"[830, 859]","[561, 582]",0,0,0.606501857246261,IOBP,1-3,13,1-3_Day13
306,combined,2,"[800, 833]","[540, 562]",0,0,0.6020313485331329,IOBP,1-3,13,1-3_Day13
312,combined,2,"[872, 874]","[589, 591]",0,0,0.5780900382237825,IOBP,1-3,13,1-3_Day13
339,combined,3,"[762, 780, 796]","[513, 525, 538]",0,0,0.9161259091331287,IOBP,1-3,13,1-3_Day13
340,combined,3,"[749, 765, 793]","[503, 515, 535]",0,0,0.6359209399187714,IOBP,1-3,13,1-3_Day13
341,combined,2,"[49, 125]","[34, 87]",0,0,0.6938940380561247,IOBP,1-3,13,1-3_Day13
417,combined,2,"[411, 412]","[282, 283]",0,0,0.9619744413725058,IOBP,1-3,13,1-3_Day13
438,combined,2,"[858, 860]","[581, 583]",0,0,0.5114883411536437,IOBP,1-3,13,1-3_Day13
449,combined,2,"[204, 274]","[137, 190]",0,0,0.687942613766219,IOBP,1-3,13,1-3_Day13
473,combined,2,"[233, 445]","[159, 307]",0,0,0.7392069629743659,IOBP,1-3,13,1-3_Day13
489,combined,2,"[473, 477]","[323, 325]",0,0,0.8029573378958506,IOBP,1-3,13,1-3_Day13
516,combined,2,"[139, 1044]","[95, 692]",0,0,0.5027019470671733,IOBP,1-3,13,1-3_Day13
528,combined,2,"[108, 500]","[73, 344]",0,0,0.5370978452486124,IOBP,1-3,13,1-3_Day13
538,combined,2,"[170, 208]","[114, 140]",0,0,0.9691751988565939,IOBP,1-3,13,1-3_Day13
542,combined,2,"[95, 715]","[64, 484]",0,0,0.5055180510333461,IOBP,1-3,13,1-3_Day13
587,combined,2,"[230, 237]","[156, 163]",0,0,0.5027381019786457,IOBP,1-3,13,1-3_Day13
597,combined,2,"[637, 656]","[431, 443]",0,0,0.5272094877747177,IOBP,1-3,13,1-3_Day13
619,combined,2,"[248, 267]","[171, 184]",0,0,0.668078561017214,IOBP,1-3,13,1-3_Day13
635,combined,2,"[458, 550]","[315, 381]",0,0,0.7018202353580645,IOBP,1-3,13,1-3_Day13
645,combined,2,"[502, 520]","[346, 359]",0,0,0.9756543494809942,IOBP,1-3,13,1-3_Day13
27,combined,2,"[1226, 1230]","[30, 31]",0,0,0.813491912240442,IOBP,1-3,2,1-3_Day2
16,combined,2,"[554, 852]","[366, 558]",0,0,0.5548078951348009,IOBP,1-3,21,1-3_Day21
23,combined,4,"[29, 35, 44, 49]","[20, 23, 30, 33]",0,0,0.6638701759746866,IOBP,1-3,21,1-3_Day21
41,combined,2,"[129, 731]","[82, 479]",0,0,0.8727661185374124,IOBP,1-3,21,1-3_Day21
61,combined,2,"[350, 356]","[232, 235]",0,0,0.5701152522438744,IOBP,1-3,21,1-3_Day21
79,combined,2,"[377, 396]","[248, 257]",0,0,0.9925647927522774,IOBP,1-3,21,1-3_Day21
82,combined,2,"[335, 942]","[221, 615]",0,0,0.512489321261045,IOBP,1-3,21,1-3_Day21
83,combined,2,"[197, 381]","[126, 251]",0,0,0.5798833357491756,IOBP,1-3,21,1-3_Day21
88,combined,2,"[368, 369]","[243, 244]",0,0,0.8916813692828742,IOBP,1-3,21,1-3_Day21
94,combined,2,"[367, 475]","[242, 308]",0,0,0.5606685738058818,IOBP,1-3,21,1-3_Day21
236,combined,2,"[106, 269]","[77, 177]",0,0,0.5206551891194859,IOBP,1-3,21,1-3_Day21
239,combined,2,"[580, 582]","[383, 385]",0,0,0.7829324571401344,IOBP,1-3,21,1-3_Day21
255,combined,2,"[307, 309]","[206, 207]",0,0,0.5008229758523235,IOBP,1-3,21,1-3_Day21
262,combined,2,"[583, 615]","[386, 407]",0,0,0.5947578268447935,IOBP,1-3,21,1-3_Day21
263,combined,2,"[512, 842]","[334, 551]",0,0,0.5458993080003356,IOBP,1-3,21,1-3_Day21
295,combined,2,"[156, 361]","[101, 239]",0,0,0.6186058308850546,IOBP,1-3,21,1-3_Day21
300,combined,2,"[86, 190]","[59, 121]",0,0,0.5993374345442746,IOBP,1-3,21,1-3_Day21
316,combined,2,"[634, 690]","[421, 455]",0,0,0.5410243871735666,IOBP,1-3,21,1-3_Day21
331,combined,3,"[15, 325, 721]","[10, 216, 472]",0,0,0.6637579767235112,IOBP,1-3,21,1-3_Day21
337,combined,3,"[296, 412, 465]","[196, 269, 301]",0,0,0.9192333312819017,IOBP,1-3,21,1-3_Day21
362,combined,2,"[67, 491]","[46, 319]",0,0,0.8621135417582039,IOBP,1-3,21,1-3_Day21
363,combined,3,"[655, 723, 985]","[434, 474, 641]",0,0,0.7224441745517055,IOBP,1-3,21,1-3_Day21
367,combined,2,"[704, 743]","[463, 485]",0,0,0.5268510300601951,IOBP,1-3,21,1-3_Day21
388,combined,2,"[305, 457]","[204, 294]",0,0,0.6123314186242818,IOBP,1-3,21,1-3_Day21
390,combined,2,"[642, 754]","[426, 493]",0,0,0.9860163996524657,IOBP,1-3,21,1-3_Day21
452,combined,2,"[343, 857]","[226, 561]",0,0,0.6337414115277753,IOBP,1-3,21,1-3_Day21
454,combined,3,"[221, 424, 957]","[144, 275, 622]",0,0,0.5283461964575268,IOBP,1-3,21,1-3_Day21
476,combined,2,"[486, 498]","[317, 324]",0,0,0.5113536374492345,IOBP,1-3,21,1-3_Day21
500,combined,2,"[476, 481]","[309, 314]",0,0,0.7420244770989523,IOBP,1-3,21,1-3_Day21
520,combined,2,"[42, 274]","[28, 182]",0,0,0.6368166727849256,IOBP,1-3,21,1-3_Day21
552,combined,2,"[27, 53]","[18, 37]",0,0,0.5087917568217666,IOBP,1-3,21,1-3_Day21
614,combined,2,"[763, 1021]","[500, 668]",0,0,0.6664085742246971,IOBP,1-3,21,1-3_Day21
45,combined,2,"[382, 411]","[321, 345]",0,0,0.7081286736618446,IOBP,1-3,28,1-3_Day28
46,combined,3,"[446, 451, 467]","[374, 379, 394]",0,0,0.7065813581333843,IOBP,1-3,28,1-3_Day28
54,combined,2,"[214, 215]","[176, 177]",0,0,0.7054213569887324,IOBP,1-3,28,1-3_Day28
70,combined,2,"[337, 356]","[286, 301]",0,0,0.5696806054515414,IOBP,1-3,28,1-3_Day28
82,combined,2,"[373, 820]","[314, 697]",0,0,0.621194211193268,IOBP,1-3,28,1-3_Day28
94,combined,2,"[617, 723]","[521, 613]",0,0,0.7447045130307214,IOBP,1-3,28,1-3_Day28
169,combined,2,"[439, 441]","[368, 370]",0,0,0.7577757492631416,IOBP,1-3,28,1-3_Day28
203,combined,3,"[587, 758, 908]","[497, 641, 764]",0,0,0.9734489915921068,IOBP,1-3,28,1-3_Day28
255,combined,2,"[71, 77]","[62, 67]",0,0,0.8620607807812513,IOBP,1-3,28,1-3_Day28
258,combined,2,"[187, 194]","[154, 160]",0,0,0.5856678474750632,IOBP,1-3,28,1-3_Day28
286,combined,2,"[737, 748]","[625, 632]",0,0,0.9768802471276806,IOBP,1-3,28,1-3_Day28
287,combined,2,"[67, 302]","[59, 257]",0,0,0.8931961594695048,IOBP,1-3,28,1-3_Day28
321,combined,2,"[303, 521]","[258, 441]",0,0,0.5120321944218237,IOBP,1-3,28,1-3_Day28
356,combined,2,"[556, 565]","[469, 478]",0,0,0.9443763666970675,IOBP,1-3,28,1-3_Day28
362,combined,2,"[818, 827]","[695, 703]",0,0,0.8116758707737756,IOBP,1-3,28,1-3_Day28
413,combined,2,"[7, 17]","[5, 14]",0,0,0.5277462905169416,IOBP,1-3,28,1-3_Day28
488,combined,2,"[393, 898]","[332, 756]",0,0,0.9824942153255357,IOBP,1-3,28,1-3_Day28
534,combined,2,"[523, 797]","[443, 675]",0,0,0.529540865947551,IOBP,1-3,28,1-3_Day28
580,combined,2,"[216, 957]","[178, 806]",0,0,0.553730398871067,IOBP,1-3,28,1-3_Day28
583,combined,2,"[265, 628]","[222, 531]",0,0,0.5625465422815238,IOBP,1-3,28,1-3_Day28
584,combined,2,"[261, 348]","[218, 295]",0,0,0.5477418119627562,IOBP,1-3,28,1-3_Day28
599,combined,2,"[563, 571]","[476, 482]",0,0,0.5241165221380315,IOBP,1-3,28,1-3_Day28
688,combined,4,"[148, 287, 458, 526]","[120, 244, 385, 446]",0,0,0.6439127374183714,IOBP,1-3,28,1-3_Day28
747,combined,2,"[665, 945]","[562, 796]",0,0,0.5385956848544771,IOBP,1-3,28,1-3_Day28
8,combined,2,"[1236, 1264]","[71, 75]",0,0,0.9899196557533179,IOBP,1-3,3,1-3_Day3
10,combined,2,"[192, 900]","[11, 60]",0,0,0.5957524434114659,IOBP,1-3,3,1-3_Day3
14,combined,2,"[644, 681]","[43, 46]",0,0,0.8378947447284801,IOBP,1-3,3,1-3_Day3
30,combined,2,"[519, 562]","[32, 36]",0,0,0.6906013733330925,IOBP,1-3,3,1-3_Day3
36,combined,2,"[869, 1116]","[57, 68]",0,0,0.601874080902814,IOBP,1-3,3,1-3_Day3
58,combined,2,"[404, 581]","[26, 37]",0,0,0.5333593473187426,IOBP,1-3,3,1-3_Day3
61,combined,2,"[77, 97]","[4, 7]",0,0,0.9762037374358916,IOBP,1-3,3,1-3_Day3
67,combined,2,"[1255, 1263]","[73, 74]",0,0,0.8727942086308115,IOBP,1-3,3,1-3_Day3
68,combined,2,"[677, 698]","[55, 57]",0,0,0.9827114931921893,IOBP,1-3,4,1-3_Day4
76,combined,2,"[345, 357]","[29, 30]",0,0,0.7502512576755156,IOBP,1-3,4,1-3_Day4
89,combined,2,"[1415, 1431]","[106, 108]",0,0,0.6683670486516909,IOBP,1-3,4,1-3_Day4
1,combined,2,"[1402, 1448]","[352, 363]",0,0,0.7628642735349512,IOBP,1-3,5,1-3_Day5
9,combined,2,"[1191, 1202]","[300, 303]",0,0,0.8701790299020885,IOBP,1-3,5,1-3_Day5
24,combined,2,"[1175, 1187]","[295, 298]",0,0,0.9820131332056539,IOBP,1-3,5,1-3_Day5
30,combined,3,"[475, 509, 531]","[129, 138, 143]",0,0,0.5803491195661353,IOBP,1-3,5,1-3_Day5
32,combined,2,"[1270, 1271]","[319, 320]",0,0,0.7017593916224887,IOBP,1-3,5,1-3_Day5
43,combined,2,"[281, 333]","[83, 95]",0,0,0.6314337251849571,IOBP,1-3,5,1-3_Day5
46,combined,2,"[319, 1439]","[87, 359]",0,0,0.5216646660188275,IOBP,1-3,5,1-3_Day5
51,combined,2,"[220, 237]","[68, 71]",0,0,0.7472992639858952,IOBP,1-3,5,1-3_Day5
57,combined,2,"[875, 991]","[223, 258]",0,0,0.7353782542658336,IOBP,1-3,5,1-3_Day5
122,combined,2,"[14, 18]","[5, 7]",0,0,0.6974684809601842,IOBP,1-3,5,1-3_Day5
131,combined,2,"[1064, 1528]","[272, 387]",0,0,0.5576403050817358,IOBP,1-3,5,1-3_Day5
132,combined,2,"[904, 946]","[234, 245]",0,0,0.5758070784300455,IOBP,1-3,5,1-3_Day5
133,combined,2,"[207, 856]","[62, 220]",0,0,0.9319318565106564,IOBP,1-3,5,1-3_Day5
136,combined,2,"[1154, 1166]","[290, 293]",0,0,0.5564404768436275,IOBP,1-3,5,1-3_Day5
147,combined,3,"[363, 364, 369]","[107, 108, 110]",0,0,0.641901207642989,IOBP,1-3,5,1-3_Day5
148,combined,2,"[894, 1028]","[231, 268]",0,0,0.5104757274919917,IOBP,1-3,5,1-3_Day5
149,combined,2,"[479, 1037]","[131, 270]",0,0,0.5779861098678308,IOBP,1-3,5,1-3_Day5
153,combined,2,"[899, 1017]","[232, 265]",0,0,0.5458552724173054,IOBP,1-3,5,1-3_Day5
154,combined,2,"[966, 1070]","[250, 274]",0,0,0.7121627047365706,IOBP,1-3,5,1-3_Day5
176,combined,2,"[352, 1306]","[102, 326]",0,0,0.5500802588497409,IOBP,1-3,5,1-3_Day5
190,combined,3,"[1360, 1426, 1445]","[336, 355, 362]",0,0,0.5455168853249497,IOBP,1-3,5,1-3_Day5
193,combined,4,"[497, 501, 599, 1475]","[134, 136, 160, 370]",0,0,0.6920239929786512,IOBP,1-3,5,1-3_Day5
207,combined,3,"[36, 212, 820]","[13, 64, 214]",0,0,0.7585877516657827,IOBP,1-3,5,1-3_Day5
208,combined,2,"[1288, 1458]","[324, 368]",0,0,0.5643855207401713,IOBP,1-3,5,1-3_Day5
212,combined,2,"[1403, 1455]","[353, 366]",0,0,0.5579016999071239,IOBP,1-3,5,1-3_Day5
214,combined,2,"[1396, 1515]","[350, 384]",0,0,0.5490623782290054,IOBP,1-3,5,1-3_Day5
217,combined,2,"[216, 241]","[65, 74]",0,0,0.9804144815459651,IOBP,1-3,5,1-3_Day5
235,combined,2,"[356, 361]","[103, 106]",0,0,0.6763436460385174,IOBP,1-3,5,1-3_Day5
238,combined,2,"[146, 159]","[49, 51]",0,0,0.6417495334219767,IOBP,1-3,5,1-3_Day5
248,combined,2,"[941, 1010]","[243, 263]",0,0,0.6789415815423527,IOBP,1-3,5,1-3_Day5
264,combined,2,"[1225, 1532]","[308, 388]",0,0,0.7220600251673319,IOBP,1-3,5,1-3_Day5
265,combined,2,"[714, 801]","[191, 207]",0,0,0.8016360760916915,IOBP,1-3,5,1-3_Day5
276,combined,2,"[1449, 1451]","[364, 365]",0,0,0.7555275819552194,IOBP,1-3,5,1-3_Day5
299,combined,2,"[357, 556]","[104, 149]",0,0,0.5661233247950629,IOBP,1-3,5,1-3_Day5
303,combined,2,"[962, 1031]","[248, 269]",0,0,0.5692936353796888,IOBP,1-3,5,1-3_Day5
311,combined,2,"[631, 686]","[173, 187]",0,0,0.96795128423076,IOBP,1-3,5,1-3_Day5
326,combined,2,"[181, 191]","[55, 58]",0,0,0.6528860728659336,IOBP,1-3,5,1-3_Day5
334,combined,2,"[297, 302]","[84, 85]",0,0,0.6185551901156223,IOBP,1-3,5,1-3_Day5
336,combined,2,"[1438, 1514]","[358, 383]",0,0,0.9557234433162073,IOBP,1-3,5,1-3_Day5
340,combined,2,"[1218, 1286]","[307, 322]",0,0,0.5179274395836047,IOBP,1-3,5,1-3_Day5
349,combined,2,"[947, 963]","[246, 249]",0,0,0.8040634738111694,IOBP,1-3,5,1-3_Day5
350,combined,2,"[143, 157]","[47, 50]",0,0,0.6044409984188095,IOBP,1-3,5,1-3_Day5
18,combined,2,"[8, 378]","[3, 149]",0,0,0.5150370243703872,IOBP,1-3,6,1-3_Day6
31,combined,3,"[29, 1081, 1255]","[15, 366, 426]",0,0,0.7542274634393742,IOBP,1-3,6,1-3_Day6
33,combined,5,"[253, 312, 319, 340, 384]","[96, 128, 131, 139, 151]",0,0,0.8596410265730862,IOBP,1-3,6,1-3_Day6
43,combined,2,"[846, 1286]","[304, 439]",0,0,0.5778109760499486,IOBP,1-3,6,1-3_Day6
51,combined,2,"[540, 549]","[210, 212]",0,0,0.8532925328014795,IOBP,1-3,6,1-3_Day6
63,combined,2,"[758, 770]","[274, 278]",0,0,0.9882287542905288,IOBP,1-3,6,1-3_Day6
72,combined,2,"[71, 72]","[36, 37]",0,0,0.9017228358485114,IOBP,1-3,6,1-3_Day6
79,combined,2,"[823, 851]","[296, 305]",0,0,0.5362191665473761,IOBP,1-3,6,1-3_Day6
119,combined,2,"[36, 240]","[17, 89]",0,0,0.5512757298199761,IOBP,1-3,6,1-3_Day6
127,combined,2,"[281, 283]","[115, 116]",0,0,0.963409825152069,IOBP,1-3,6,1-3_Day6
153,combined,2,"[245, 1126]","[92, 378]",0,0,0.5943870474595253,IOBP,1-3,6,1-3_Day6
158,combined,2,"[713, 1052]","[261, 355]",0,0,0.5659630756089183,IOBP,1-3,6,1-3_Day6
164,combined,2,"[87, 347]","[43, 140]",0,0,0.5067967267592978,IOBP,1-3,6,1-3_Day6
188,combined,2,"[1208, 1261]","[403, 429]",0,0,0.5892314432599425,IOBP,1-3,6,1-3_Day6
192,combined,2,"[614, 968]","[230, 326]",0,0,0.5161433700573372,IOBP,1-3,6,1-3_Day6
206,combined,2,"[50, 93]","[25, 46]",0,0,0.7380025885726211,IOBP,1-3,6,1-3_Day6
214,combined,2,"[636, 639]","[240, 241]",0,0,0.7417353997102475,IOBP,1-3,6,1-3_Day6
225,combined,2,"[839, 1203]","[301, 401]",0,0,0.6771949228229234,IOBP,1-3,6,1-3_Day6
264,combined,3,"[471, 487, 488]","[177, 186, 187]",0,0,0.6315265442387079,IOBP,1-3,6,1-3_Day6
270,combined,2,"[241, 243]","[90, 91]",0,0,0.701728137469726,IOBP,1-3,6,1-3_Day6
283,combined,2,"[611, 1048]","[228, 353]",0,0,0.5105746507577026,IOBP,1-3,6,1-3_Day6
331,combined,2,"[139, 792]","[58, 286]",0,0,0.6996482576447552,IOBP,1-3,6,1-3_Day6
347,combined,2,"[336, 1254]","[138, 425]",0,0,0.7654812456617452,IOBP,1-3,6,1-3_Day6
354,combined,2,"[613, 653]","[229, 245]",0,0,0.5376772013563134,IOBP,1-3,6,1-3_Day6
365,combined,2,"[280, 285]","[114, 117]",0,0,0.9872413102434345,IOBP,1-3,6,1-3_Day6
399,combined,2,"[183, 187]","[73, 75]",0,0,0.7467300548460917,IOBP,1-3,6,1-3_Day6
413,combined,2,"[1067, 1073]","[360, 361]",0,0,0.9042726378919009,IOBP,1-3,6,1-3_Day6
1,combined,2,"[70, 92]","[39, 50]",0,0,0.7339121338623612,IOBP,1-3,7,1-3_Day7
22,combined,2,"[356, 372]","[207, 218]",0,0,0.5486827318044616,IOBP,1-3,7,1-3_Day7
37,combined,2,"[1083, 1105]","[606, 616]",0,0,0.5866960323611258,IOBP,1-3,7,1-3_Day7
40,combined,2,"[664, 686]","[361, 377]",0,0,0.8432020839402425,IOBP,1-3,7,1-3_Day7
42,combined,3,"[2, 3, 17]","[1, 2, 12]",0,0,0.6648817452617819,IOBP,1-3,7,1-3_Day7
77,combined,3,"[624, 626, 885]","[343, 345, 484]",0,0,0.8224985824455047,IOBP,1-3,7,1-3_Day7
84,combined,2,"[1127, 1133]","[633, 637]",0,0,0.6025849643877418,IOBP,1-3,7,1-3_Day7
95,combined,2,"[237, 343]","[133, 201]",0,0,0.5978161980332518,IOBP,1-3,7,1-3_Day7
124,combined,2,"[559, 977]","[313, 540]",0,0,0.502056826355184,IOBP,1-3,7,1-3_Day7
159,combined,2,"[361, 420]","[212, 243]",0,0,0.5509561019301624,IOBP,1-3,7,1-3_Day7
167,combined,2,"[1081, 1096]","[605, 610]",0,0,0.5530556807056585,IOBP,1-3,7,1-3_Day7
170,combined,2,"[982, 1003]","[544, 555]",0,0,0.6190322686981548,IOBP,1-3,7,1-3_Day7
217,combined,2,"[278, 945]","[159, 522]",0,0,0.5087902309709613,IOBP,1-3,7,1-3_Day7
219,combined,2,"[1099, 1135]","[611, 638]",0,0,0.592063863701109,IOBP,1-3,7,1-3_Day7
244,combined,2,"[915, 940]","[503, 518]",0,0,0.8481297804667707,IOBP,1-3,7,1-3_Day7
257,combined,2,"[676, 679]","[371, 373]",0,0,0.6852742832855062,IOBP,1-3,7,1-3_Day7
293,combined,2,"[633, 757]","[349, 419]",0,0,0.5391551968305247,IOBP,1-3,7,1-3_Day7
